filename,interval_label,start,end,step,stepnumber,f0,jumpkilleffect
1,ke atas,18.88,19.546,0.444,14,1.74965502002702,1
1,ke atas,18.88,19.546,0.475714285714286,15,1.78666330389751,1
1,ke atas,18.88,19.546,0.507428571428572,16,1.80683448564671,1
1,ke atas,18.88,19.546,0.539142857142857,17,1.80683448564671,1
1,ke atas,18.88,19.546,0.570857142857143,18,1.80683448564671,1
1,ke atas,18.88,19.546,0.602571428571429,19,1.80683448564671,1
1,ke atas,18.88,19.546,0.634285714285715,20,1.80683448564671,1
1,begini suda ,41.565,42.169,0.028761904761905,1,-0.89980412613529,1
1,begini suda ,41.565,42.169,0.057523809523809,2,-0.930976642918864,1
1,begini suda ,41.565,42.169,0.086285714285714,3,-1.09328871306784,1
1,begini suda ,41.565,42.169,0.115047619047619,4,-0.463985487219217,1
1,begini suda ,41.565,42.169,0.143809523809524,5,-0.213083270192103,1
1,begini suda ,41.565,42.169,0.172571428571428,6,0.037818946835058,1
1,begini suda ,41.565,42.169,0.201333333333333,7,0.288721163862219,1
1,begini suda ,41.565,42.169,0.230095238095238,8,0.462991106015534,1
1,begini suda ,41.565,42.169,0.258857142857142,9,0.441623358196856,1
1,begini suda ,41.565,42.169,0.287619047619047,10,0.420255610378177,1
1,begini suda ,41.565,42.169,0.316380952380952,11,0.398887862559499,1
1,begini suda ,41.565,42.169,0.345142857142857,12,0.37752011474082,1
1,begini suda ,41.565,42.169,0.373904761904761,13,0.297390081705348,1
1,begini suda ,41.565,42.169,0.402666666666666,14,-0.244303639461695,1
1,begini suda ,41.565,42.169,0.431428571428571,15,-0.318709111856273,1
1,begini suda ,41.565,42.169,0.460190476190475,16,-0.711506343825519,1
1,begini suda ,41.565,42.169,0.48895238095238,17,-1.10430357579472,1
1,begini suda ,41.565,42.169,0.517714285714285,18,-1.49710080776396,1
1,begini suda ,41.565,42.169,0.54647619047619,19,-1.69219877066266,1
1,begini suda ,41.565,42.169,0.575238095238094,20,-1.69219877066266,1
1,anak kecil yang,95.093,95.806,0.033952380952381,1,0.102695304061148,1
1,anak kecil yang,95.093,95.806,0.067904761904761,2,0.102695304061148,1
1,anak kecil yang,95.093,95.806,0.101857142857142,3,0.211528588459295,1
1,anak kecil yang,95.093,95.806,0.135809523809523,4,0.393044686180644,1
1,anak kecil yang,95.093,95.806,0.169761904761903,5,0.574560783901993,1
1,anak kecil yang,95.093,95.806,0.203714285714284,6,0.741479382734649,1
1,anak kecil yang,95.093,95.806,0.237666666666665,7,0.6991671641616,1
1,anak kecil yang,95.093,95.806,0.271619047619045,8,0.656854945588596,1
1,anak kecil yang,95.093,95.806,0.305571428571426,9,0.614542727015547,1
